id,ranked_id,username,champion_id,champion_level,champion_points,champion_points_since_last_level,champion_points_until_next_level,chest_granted,last_play_time,created_at,updated_at
44173,37,GEM Vrilyarethez#GEM,40,2,986,986,814,false,2023-06-30 16:28:29+00,2025-10-11 19:07:12.097542+00,2025-10-14 03:57:20.18341+00
44174,37,GEM Vrilyarethez#GEM,18,1,983,983,817,false,2023-07-02 14:18:19+00,2025-10-11 19:07:19.891993+00,2025-10-11 22:07:36.434207+00
44175,37,GEM Vrilyarethez#GEM,111,1,979,979,821,false,2025-10-05 20:24:38+00,2025-10-11 19:07:24.291454+00,2025-10-11 22:07:36.434207+00
44176,37,GEM Vrilyarethez#GEM,412,1,940,940,860,false,2023-06-29 19:10:32+00,2025-10-11 19:07:28.327217+00,2025-10-11 22:07:36.434207+00
44177,37,GEM Vrilyarethez#GEM,39,1,924,924,876,false,2025-03-16 04:05:19+00,2025-10-11 19:07:37.115916+00,2025-10-11 22:07:36.434207+00
44178,37,GEM Vrilyarethez#GEM,8,1,920,920,880,false,2023-09-16 23:07:04+00,2025-10-11 19:09:19.917927+00,2025-10-11 22:07:36.434207+00
44179,37,GEM Vrilyarethez#GEM,498,1,825,825,975,false,2023-07-03 14:57:06+00,2025-10-11 19:09:29.374629+00,2025-10-11 22:07:36.434207+00
44180,37,GEM Vrilyarethez#GEM,266,1,812,812,988,false,2022-10-07 02:07:43+00,2025-10-11 19:09:34.297671+00,2025-10-11 22:07:36.434207+00
44181,37,GEM Vrilyarethez#GEM,15,1,799,799,1001,false,2023-06-29 19:30:33+00,2025-10-11 19:09:38.185885+00,2025-10-11 22:07:36.434207+00
44182,37,GEM Vrilyarethez#GEM,36,1,792,792,1008,false,2024-01-02 04:36:01+00,2025-10-11 19:09:46.747305+00,2025-10-11 22:07:36.434207+00
44183,37,GEM Vrilyarethez#GEM,117,1,784,784,1016,false,2023-06-30 20:18:40+00,2025-10-11 19:09:50.464007+00,2025-10-11 22:07:36.434207+00
44184,37,GEM Vrilyarethez#GEM,897,1,776,776,1024,false,2023-10-16 01:34:56+00,2025-10-11 19:09:54.776224+00,2025-10-11 22:07:36.434207+00
44185,37,GEM Vrilyarethez#GEM,555,1,738,738,1062,false,2023-06-30 01:11:08+00,2025-10-11 19:10:02.598308+00,2025-10-11 22:07:36.434207+00
44186,37,GEM Vrilyarethez#GEM,145,1,722,722,1078,false,2025-09-21 15:57:35+00,2025-10-11 19:10:06.774284+00,2025-10-11 22:07:36.434207+00
44187,37,GEM Vrilyarethez#GEM,2,1,537,537,1263,false,2022-05-30 11:28:21+00,2025-10-11 19:10:13.950782+00,2025-10-11 22:07:36.434207+00
44188,37,GEM Vrilyarethez#GEM,22,1,400,400,1400,false,2022-09-02 02:02:46+00,2025-10-11 19:10:31.612366+00,2025-10-11 22:07:36.434207+00
44189,37,GEM Vrilyarethez#GEM,134,1,377,377,1423,false,2023-06-08 20:49:38+00,2025-10-11 19:10:35.715757+00,2025-10-11 22:07:36.434207+00
44190,37,GEM Vrilyarethez#GEM,91,1,268,268,1532,false,2022-06-06 21:34:05+00,2025-10-11 19:10:40.390497+00,2025-10-11 22:07:36.434207+00
44191,37,GEM Vrilyarethez#GEM,31,1,254,254,1546,false,2023-10-20 19:40:34+00,2025-10-11 19:11:03.35585+00,2025-10-11 22:07:36.434207+00
44192,37,GEM Vrilyarethez#GEM,55,1,214,214,1586,false,2022-05-29 17:59:54+00,2025-10-11 19:11:06.918178+00,2025-10-11 22:07:36.434207+00
44193,37,GEM Vrilyarethez#GEM,12,1,205,205,1595,false,2023-06-24 16:54:58+00,2025-10-11 19:11:06.944188+00,2025-10-11 22:07:36.434207+00
44194,37,GEM Vrilyarethez#GEM,164,1,197,197,1603,false,2023-09-16 22:10:27+00,2025-10-11 19:11:23.680285+00,2025-10-11 22:07:36.434207+00
44197,37,GEM Vrilyarethez#GEM,76,1,197,197,1603,false,2023-10-16 02:43:55+00,2025-10-11 19:11:40.830643+00,2025-10-11 22:07:36.434207+00
44201,37,GEM Vrilyarethez#GEM,98,1,192,192,1608,false,2023-09-05 22:57:32+00,2025-10-11 19:11:53.214642+00,2025-10-11 22:07:36.434207+00
44203,37,GEM Vrilyarethez#GEM,53,1,158,158,1642,false,2023-08-28 00:17:22+00,2025-10-11 19:12:02.060025+00,2025-10-11 22:07:36.434207+00
44204,37,GEM Vrilyarethez#GEM,75,1,126,126,1674,false,2022-05-21 20:43:34+00,2025-10-11 19:12:37.049075+00,2025-10-11 22:07:36.434207+00
44205,37,GEM Vrilyarethez#GEM,30,1,117,117,1683,false,2023-08-05 20:53:14+00,2025-10-11 19:13:02.940749+00,2025-10-11 22:07:36.434207+00
44206,37,GEM Vrilyarethez#GEM,235,1,98,98,1702,false,2022-08-24 00:35:21+00,2025-10-11 19:13:10.170403+00,2025-10-11 22:07:36.434207+00
44207,37,GEM Vrilyarethez#GEM,33,1,97,97,1703,false,2023-09-24 18:33:12+00,2025-10-11 19:13:16.84602+00,2025-10-11 22:07:36.434207+00
44208,37,GEM Vrilyarethez#GEM,110,1,70,70,1730,false,2022-05-24 15:20:50+00,2025-10-11 19:13:21.915104+00,2025-10-11 22:07:36.434207+00
44209,37,GEM Vrilyarethez#GEM,268,0,0,0,0,false,2025-10-11 19:16:04.328+00,2025-10-11 19:15:12.445096+00,2025-10-11 19:15:12.445096+00
