id,user_id,ranked_id,ranked_name,ranked_username,bloodline,action,title,description,metadata,created_at
1062,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,MASTERY_LEVEL_UP,Mastery Upgrade!,flashendyt reached mastery level 2 with Warwick in GEM Reamsetmours#GEM,"{""to"":""2"",""from"":""1"",""points"":""50"",""championId"":""19"",""championName"":""Warwick""}",2025-12-21 05:25:54.49443+00
1063,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,MASTERY_LEVEL_UP,Mastery Upgrade!,flashendyt reached mastery level 2 with Garen in GEM Reamsetmours#GEM,"{""to"":""2"",""from"":""1"",""points"":""50"",""championId"":""86"",""championName"":""Garen""}",2025-12-21 07:09:07.815177+00
1064,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,WIN,Victory!,flashendyt won 1 win in GEM Reamsetmours#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""30""}",2025-12-21 07:42:38.792746+00
1065,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,WIN,Victory!,flashendyt won 1 win in GEM Reamsetmours#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""30""}",2025-12-21 07:43:17.331691+00
1066,d9795c74-0656-41af-a563-330e5581c2dd,53,flashendyt,GEM Reamsetmours#GEM,Spadelline,RANK_UP,SoloQ Promotion!,flashendyt climbed in SoloQ from Unranked to SILVER  in GEM Reamsetmours#GEM,"{""queue"":""SoloQ"",""points"":""200"",""toTier"":""silver"",""fromTier"":""UNRANKED"",""toDivision"":""0"",""fromDivision"":""0"",""divisionsGained"":""8""}",2025-12-21 07:44:57.687219+00
1067,a098c50f-409f-4fc7-bb2c-c77b073e66cc,19,Gusta_L,GEM Damglantine#GEM,Zephiroth,WIN,Victory!,Gusta_L won 1 win in GEM Damglantine#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""85""}",2025-12-21 16:53:55.056285+00
1068,e55f6073-25c5-4c73-a220-4b6327f7ba5e,48,Aegon,GEM Furninscorce#GEM,Porveldam,WIN,Victory!,Aegon won 1 win in GEM Furninscorce#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""30""}",2025-12-21 18:05:52.259531+00
1069,2d926f04-c40a-404e-9772-bf458d31f2e2,44,Matutte,GEM Golzendants#GEM,Primogenit,WIN,Victory!,Matutte won 1 win in GEM Golzendants#GEM,"{""wins"":""1"",""points"":""70"",""totalWins"":""27""}",2025-12-21 19:48:56.48512+00
1070,2d926f04-c40a-404e-9772-bf458d31f2e2,44,Matutte,GEM Golzendants#GEM,Primogenit,WIN,Victory!,Matutte won 3 wins in GEM Golzendants#GEM,"{""wins"":""3"",""points"":""210"",""totalWins"":""27""}",2025-12-21 19:49:54.249069+00
1071,2d926f04-c40a-404e-9772-bf458d31f2e2,44,Matutte,GEM Golzendants#GEM,Primogenit,RANK_UP,Flex Promotion!,Matutte climbed in Flex from Unranked to GOLD  in GEM Golzendants#GEM,"{""queue"":""Flex"",""points"":""300"",""toTier"":""gold"",""fromTier"":""UNRANKED"",""toDivision"":""0"",""fromDivision"":""0"",""divisionsGained"":""12""}",2025-12-21 20:23:25.547711+00
